院校名称,省份,专业组名称,投档线,最低投档排名,,,,,,,,,,,,,,,
清华大学,北京,第103组,669,14,,,,,,,,,,,,,,,
北京大学,北京,第103组,661,27,,,,,,,,,,,,,,,
上海交通大学,上海,第101组,652,74,,,,,,,,,,,,,,,
中国人民大学,北京,第103组,649,91,,,,,,,,,,,,,,,
中国人民大学,北京,第104组,647,111,,,,,,,,,,,,,,,
复旦大学,上海,第101组,646,113,,,,,,,,,,,,,,,
南京大学,江苏,第102组,643,158,,,,,,,,,,,,,,,
浙江大学,浙江,第101组,642,171,,,,,,,,,,,,,,,
武汉大学,湖北,第103组,633,331,,,,,,,,,,,,,,,
武汉大学,湖北,第104组,632,351,,,,,,,,,,,,,,,
武汉大学,湖北,第102组,599,2021,,,,,,,,,,,,,,,
中山大学,广东,第101组,632,353,,,,,,,,,,,,,,,
中山大学,广东,第102组,629,465,,,,,,,,,,,,,,,
厦门大学,福建,第102组,631,382,,,,,,,,,,,,,,,
厦门大学,福建,第104组,627,502,,,,,,,,,,,,,,,
厦门大学,福建,第101组,627,520,,,,,,,,,,,,,,,
厦门大学,福建,第106组,597,2216,,,,,,,,,,,,,,,
南开大学,天津,第102组,630,418,,,,,,,,,,,,,,,
北京师范大学,北京,第101组,629,454,,,,,,,,,,,,,,,
同济大学,上海,第102组,629,439,,,,,,,,,,,,,,,
北京航空航天大学,北京,第101组,628,475,,,,,,,,,,,,,,,
吉林大学,吉林,第103组,628,480,,,,,,,,,,,,,,,
吉林大学,吉林,第104组,609,1313,,,,,,,,,,,,,,,
吉林大学,吉林,第102组,608,1411,,,,,,,,,,,,,,,
东南大学,江苏,第101组,626,541,,,,,,,,,,,,,,,
华东师范大学,上海,第104组,623,628,,,,,,,,,,,,,,,
华东师范大学,上海,第105组,622,675,,,,,,,,,,,,,,,
中国政法大学,北京,第102组,623,655,,,,,,,,,,,,,,,
哈尔滨工业大学(深圳 ),广东,第101组,623,629,,,,,,,,,,,,,,,
四川大学,四川,第101组,621,756,,,,,,,,,,,,,,,
西安交通大学,陕西,第103组,621,741,,,,,,,,,,,,,,,
华中科技大学,湖北,第101组,618,847,,,,,,,,,,,,,,,
北京理工大学,北京,第101组,617,894,,,,,,,,,,,,,,,
重庆大学,重庆,第101组,617,886,,,,,,,,,,,,,,,
重庆大学,重庆,第102组(艺术类),584,3664,,,,,,,,,,,,,,,
天津大学,天津,第101组,615,977,,,,,,,,,,,,,,,
哈尔滨工业大学,黑龙江,第101组,615,990,,,,,,,,,,,,,,,
中南大学,湖南,第101组,615,972,,,,,,,,,,,,,,,
中央财经大学,北京,第101组,614,1016,,,,,,,,,,,,,,,
对外经济贸易大学,北京,第101组,614,1028,,,,,,,,,,,,,,,
中国人民大学(苏州校区),江苏,第102组,614,1025,,,,,,,,,,,,,,,
苏州大学,江苏,第101组,614,1054,,,,,,,,,,,,,,,
苏州大学,江苏,第103组,611,1230,,,,,,,,,,,,,,,
苏州大学,江苏,第102组,605,1565,,,,,,,,,,,,,,,
山东大学,山东,第101组,614,1017,,,,,,,,,,,,,,,
湖南大学,湖南,第102组,614,1049,,,,,,,,,,,,,,,
湖南大学,湖南,第103组,602,1790,,,,,,,,,,,,,,,
上海财经大学,上海,第101组,613,1113,,,,,,,,,,,,,,,
华南理工大学,广东,第101组,612,1165,,,,,,,,,,,,,,,
西北工业大学,陕西,第101组,611,1228,,,,,,,,,,,,,,,
北京外国语大学,北京,第102组,610,1274,,,,,,,,,,,,,,,
北京外国语大学,北京,第103组,609,1368,,,,,,,,,,,,,,,
山东大学威海分校,山东,第101组,609,1333,,,,,,,,,,,,,,,
西南政法大学,重庆,第102组,609,1315,,,,,,,,,,,,,,,
电子科技大学,四川,第101组,609,1301,,,,,,,,,,,,,,,
上海外国语大学,上海,第102组,608,1424,,,,,,,,,,,,,,,
中国海洋大学,山东,第103组,608,1404,,,,,,,,,,,,,,,
中国海洋大学,山东,第102组,604,1622,,,,,,,,,,,,,,,
中国海洋大学,山东,第101组,604,1677,,,,,,,,,,,,,,,
中央民族大学,山东,第101组,607,1452,,,,,,,,,,,,,,,
华东政法大学,上海,第102组,607,1463,,,,,,,,,,,,,,,
中国人民公安大学,北京,第102组,606,1544,,,,,,,,,,,,,,,
中南财经政法大学,湖北,第102组,606,1519,,,,,,,,,,,,,,,
浙江外国语学院,浙江,第101组,543,12503,,,,,,,,,,,,,,,
华中师范大学,湖北,第106组,605,1572,,,,,,,,,,,,,,,
华中师范大学,湖北,第105组,603,1737,,,,,,,,,,,,,,,
西南大学,重庆,第109组,605,1606,,,,,,,,,,,,,,,
西南大学,重庆,第106组,600,1950,,,,,,,,,,,,,,,
西南大学,重庆,第108组,600,1960,,,,,,,,,,,,,,,
西南大学,重庆,第107组,562,7361,,,,,,,,,,,,,,,
