序号,院校名称,学校标识码,主管部门,所在地,层次,省市,性质,研究生,共建方,城市级,考研,推免,深造,国内升学,出国,行业隶属,顶尖专业,特色专业,官网,可点击链接
1,北京大学,4111010001,教育部,北京市,本科,北京,985/211,研院/推免,教育部、北京市、国家国防科技工业局、国家海洋局、卫健委,一线,60.31,55.1,71.16%,52.26%,18.90%,,数学与应用数学、信息与计算科学、物理学、化学、生物科学、生物技术、天文学、地理科学、地理信息系统、大气科学、理论与应用力学、电子信息科学与技术、微电子学、材料化学、环境科学、统计学、哲学、逻辑学、汉语言文学、汉语言、古典文献、德语、日语、波斯语、印度尼西亚语、印地语、缅甸语、泰语、乌尔都语、希伯来语、越南语、广告学、编辑出版学、法学、科学社会主义与国际共产主义运动、社会学、社会工作、政治学与行政学、国际政治、工商管理、市场营销、财务管理、人力资源管理、行政管理、公共事业管理、图书馆学、基础医学、预防医学、临床医学、医学检验、口腔医学、药学、世界历史、考古学、博物馆学、经济学、金融学、保险,经济学、法学、西班牙语、阿拉伯语、非通用语种群(印地语、乌尔都语、孟加拉语、梵文、巴利文5个语种)、非通用语种群(蒙古语、菲律宾语、泰国语、波斯语、希伯来语等12个语种)、地质学、微电子学、核技术、软件工程(设5个专业方向)、临床医学(与北京大学第一医院结合)、临床医学(与北京大学人民医院结合)、口腔医学、哲学、信息与计算科学、化学、生物科学、药学、智能科学与技术、保险、城市管理、汉语言文学、世界历史、考古学、预防医学,https://www.pku.edu.cn/,https://www.pku.edu.cn/
2,中国人民大学,4111010002,教育部,北京市,本科,北京,985/211,研院/推免,教育部、北京市,一线,33.43,30.2,64.53%,34.16%,30.37%,劳动部,哲学、经济学、财政学、金融学、贸易经济、工商管理、市场营销、会计学、财务管理、人力资源管理、劳动与社会保障、档案学、法学、科学社会主义与国际共产主义运动、中国革命史与中国共产党党史、社会学、社会工作、政治学与行政学、汉语言文学,金融学、法学、中国革命史与中国共产党党史、新闻学、工商管理、哲学、经济学、社会学、财政学、统计学、档案学,https://www.ruc.edu.cn/,https://www.ruc.edu.cn/
3,清华大学,4111010003,教育部,北京市,本科,北京,985/211,研院/推免,教育部、北京市、国家国防科技工业局、水利部、国家海洋局、卫健委,一线,61.4,58.3,76.60%,63.70%,13.00%,轻工部,高分子材料与工程、材料科学与工程、机械工程及自动化、车辆工程、测控技术与仪器、核工程与核技术、电气工程及其自动化、自动化、电子信息工程、计算机科学与技术、电子科学与技术、生物医学工程、软件工程、建筑学、土木工程、建筑环境与设备工程、给水排水工程、水利水电工程、工程力学、环境工程、数学与应用数学、信息与计算科学、应用物理学、生物科学、生物技术、微电子学、信息管理与信息系统、工业工程、工程管理、工商管理、会计学、临床医学、英语、雕塑、艺术设计学、国际政治,新闻学、艺术设计、微电子学、核工程与核技术、电子信息工程、计算机科学与技术、计算机软件(设5个专业方向)、水利水电工程、化学、自动化、机械工程及自动化、能源动力系统及自动化、建筑学、化学工程与工业、生物工程、数学与应用数学、工程管理、英语、物理学、车辆工程、建筑环境与设备工程,https://www.tsinghua.edu.cn/,https://www.tsinghua.edu.cn/
4,北京交通大学,4111010004,教育部,北京市,本科,北京,211,研院/推免,教育部、交通运输部、北京市、中国国家铁路集团有限公司,一线,39.26,21,58.53%,44.71%,13.82%,水利电力部、铁道部,交通运输、交通工程,通信工程、软件工程(设3个专业方向)、物流管理、交通运输、机械工程及自动化、经济学、计算机科学与技术、土木工程,https://www.bjtu.edu.cn/,https://www.bjtu.edu.cn/
5,北京工业大学,4111010005,北京市,北京市,本科,北京,211,推免,,一线,23.19,7.7,50.72%,28.59%,22.13%,,,信息安全、电子科学与技术、软件工程(设2个专业方向)、机械工程及自动化、材料科学与工程,https://www.bjut.edu.cn/,https://www.bjut.edu.cn/
6,北京航空航天大学,4111010006,工业和信息化部,北京市,本科,北京,985/211,研院/推免,工信部、教育部、中国工程院、北京市,一线,53.1,26.9,69.67%,62.30%,7.37%,航天部,金属材料工程、飞行器设计与工程、飞行器制造工程、飞行器环境与生命保障工程、探测制导与控制技术,电子信息工程、通信工程、软件工程(设3个专业方向)、飞行器设计与工程、飞行器动力工程、数学与应用数学、机械工程及自动化,https://www.buaa.edu.cn/,https://www.buaa.edu.cn/
7,北京理工大学,4111010007,工业和信息化部,北京市,本科,北京,985/211,研院/推免,工信部、教育部、北京市,一线,43.15,23.6,64.51%,53.34%,10.77%,兵器工业总公司,弹药工程与爆炸技术、地面武器机动工程、特种能源工程与烟火技术,软件工程(设3个专业方向)、安全工程、地面武器机动工程、车辆工程、信息对抗技术,https://www.bit.edu.cn/,https://www.bit.edu.cn/
8,北京科技大学,4111010008,教育部,北京市,本科,北京,211,研院/推免,教育部、北京市、国家国防科技工业局,一线,40.88,20,57.02%,49.90%,7.12%,冶金部,矿物资源与工程、冶金工程、无机非金属材料工程、材料物理,安全工程、材料科学与工程、冶金工程、计算机科学与技术、矿物资源工程,https://www.ustb.edu.cn/,https://www.ustb.edu.cn/
9,北方工业大学,4111010009,北京市,北京市,本科,北京,公办,推免,,一线,23.62,2.5,29.26%,22.85%,6.41%,有色金属公司,,自动化,http://www.ncut.edu.cn/,http://www.ncut.edu.cn/
10,北京化工大学,4111010010,教育部,北京市,本科,北京,211,推免,教育部、北京市、应急管理部、国家国防科技工业局、中国石油化工集团有限公司,一线,38.28,16.9,50.41%,42.40%,8.01%,化工部,过程装备与控制工程,化学、工程与工艺、高分子材料与工程、过程装备与控制工程、生物工程,https://www.buct.edu.cn/,https://www.buct.edu.cn/
11,北京工商大学,4111010011,北京市,北京市,本科,北京,公办,推免,,一线,28.38,5.9,33.07%,24.17%,8.90%,轻工部、商业部,,物流管理、金融学,https://www.btbu.edu.cn/,https://www.btbu.edu.cn/
12,北京服装学院,4111010012,北京市,北京市,本科,北京,公办,推免,,一线,6.35,1,17.51%,9.76%,7.75%,纺织部,,艺术设计,https://www.bift.edu.cn/,https://www.bift.edu.cn/
13,北京邮电大学,4111010013,教育部,北京市,本科,北京,211,研院/推免,教育部、北京市、工信部,一线,44.39,20.9,64.02%,49.60%,14.42%,邮电部,通信工程,信息安全、通信工程、计算机科学与技术、电子商务、电子科学与技术,https://www.bupt.edu.cn/,https://www.bupt.edu.cn/
14,北京印刷学院,4111010015,北京市,北京市,本科,北京,共建,,国家广播电视总局、北京市,一线,8.77,,30.71%,25.09%,5.62%,国家出版总署,,印刷工程,https://www.bigc.edu.cn/,https://www.bigc.edu.cn/
15,北京建筑大学,4111010016,北京市,北京市,本科,北京,共建,推免,住房和城乡建设部、北京市,一线,10.21,1.7,25.76%,19.97%,5.79%,,,,https://www.bucea.edu.cn/,https://www.bucea.edu.cn/
16,北京石油化工学院,4111010017,北京市,北京市,本科,北京,公办,,,一线,5.43,,10.93%,,,石油部,,化学工程与工艺,http://www.bipt.edu.cn/,http://www.bipt.edu.cn/
17,北京电子科技学院,4111010018,中央办公厅,北京市,本科,北京,公办,,,一线,40.29,,,,,中央办公厅,,信息安全、电子信息工程,https://www.besti.edu.cn/index.html,https://www.besti.edu.cn/index.html
18,中国农业大学,4111010019,教育部,北京市,本科,北京,985/211,研院/推免,教育部、北京市、农业农村部、水利部,一线,41.6,21.4,59.72%,46.18%,13.54%,农业部,农学、植物保护、动物科学、动物医学、农林经济管理、农村区域发展、生态学、食品科学与工程、食品质量与安全、农业机械化及其自动化、农业建筑环境与能源工程、农业水利工程,农业机械化及其自动化、动物科学、动物医学、环境科学类、化学、农业建筑环境与能源工程、食品质量与安全、农林经济管理,http://www.cau.edu.cn/,http://www.cau.edu.cn/
19,北京农学院,4111010020,北京市,北京市,本科,北京,公办,,,一线,12.79,,24.85%,20.20%,4.65%,,,园艺,https://www.bua.edu.cn/,https://www.bua.edu.cn/
20,北京林业大学,4111010022,教育部,北京市,本科,北京,211,研院/推免,教育部、北京市、国家林业局,一线,31.01,18.1,52.30%,42.44%,9.86%,林业部,林学、森林资源保护与游憩、园林、木材科学与工程、林产化工、资源环境与城乡规划管理,林学、园林、农林经济管理、木材料科学与工程、水土保持与荒漠化防治、生物科学,http://www.bjfu.edu.cn/,http://www.bjfu.edu.cn/
21,北京协和医学院,4111010023,国家卫生健康委员会,北京市,本科,北京,一流学科,研院/推免,,一线,14.04,,,,,卫生部,临床医学,临床医学,http://www.pumc.edu.cn/,http://www.pumc.edu.cn/
22,首都医科大学,4111010025,北京市,北京市,本科,北京,共建,推免,教育部、卫健委、北京市,一线,38.46,17.2,43.94%,40.66%,3.28%,,康复医学,临床医学、口腔医学、护理学、生物医学工程,http://www.ccmu.edu.cn/,http://www.ccmu.edu.cn/
23,北京中医药大学,4111010026,教育部,北京市,本科,北京,211,推免,教育部、北京市、卫健委、国家中医药管理局,一线,46.14,14.4,56.57%,,,中医药管理局,中医学、针灸推拿学、中药学,中医学、中药学、公共事业管理、针灸推拿学,http://www.bucm.edu.cn/,http://www.bucm.edu.cn/
24,北京师范大学,4111010027,教育部,北京市,本科,北京,985/211,研院/推免,教育部、北京市、国家海洋局,一线,39.59,35,62.34%,49.64%,12.70%,,历史学、教育学、学前教育、教育技术学、体育教育、汉语言文学、汉语言、英语、俄语、舞蹈学、地理科学、资源环境与城乡规划管理、地理信息系统、环境科学、公共事业管理、劳动与社会保障,特殊教育、汉语言文学、数学与应用数学、物理学、历史学、生物科学与生物技术、心理学、天文学、国际经济与贸易、影视学、地理科学、体育教育,https://www.bnu.edu.cn/,https://www.bnu.edu.cn/
25,首都师范大学,4111010028,北京市,北京市,本科,北京,一流学科,推免,北京市、教育部,一线,30.88,9.5,28.71%,24.37%,4.34%,,,俄语、美术学,https://www.cnu.edu.cn/,https://www.cnu.edu.cn/
