院校名称,省份,专业组名称,投档线,最低投档排名,,,,,,,,,,,,,,,
清华大学,北京,第503组,681,34,,,,,,,,,,,,,,,
清华大学,北京,第502组,680,40,,,,,,,,,,,,,,,
北京大学,北京,第501组,680,37,,,,,,,,,,,,,,,
上海交通大学,上海,第501组,679,48,,,,,,,,,,,,,,,
上海交通大学,上海,第502组,665,273,,,,,,,,,,,,,,,
复旦大学,上海,第502组(相辉学堂),676,70,,,,,,,,,,,,,,,
复旦大学,上海,第501组,665,256,,,,,,,,,,,,,,,
复旦大学,上海,第503组,663,328,,,,,,,,,,,,,,,
上海交通大学医学院,上海,第501组(临床八年),674,103,,,,,,,,,,,,,,,
上海交通大学医学院,上海,第502组,658,497,,,,,,,,,,,,,,,
上海交通大学医学院,上海,第503组(护理类),602,10149,,,,,,,,,,,,,,,
复旦大学医学院,上海,第501组,671,143,,,,,,,,,,,,,,,
中国科学技术大学,安徽,第501组,664,293,,,,,,,,,,,,,,,
中国科学技术大学,安徽,第502组,659,475,,,,,,,,,,,,,,,
浙江大学,浙江,第501组,662,338,,,,,,,,,,,,,,,
浙江大学,浙江,第502组,632,2917,,,,,,,,,,,,,,,
浙江大学,浙江,第503组,627,3765,,,,,,,,,,,,,,,
北京大学医学部,北京,第501组,662,362,,,,,,,,,,,,,,,
南京大学,江苏,第502组,657,521,,,,,,,,,,,,,,,
南京大学,江苏,第501组,656,599,,,,,,,,,,,,,,,
中国人民大学,北京,第503组,655,620,,,,,,,,,,,,,,,
中国人民大学,北京,第502组,647,1149,,,,,,,,,,,,,,,
哈尔滨工业大学,黑龙江,第503组,654,689,,,,,,,,,,,,,,,
哈尔滨工业大学,黑龙江,第504组,620,5207,,,,,,,,,,,,,,,
哈尔滨工业大学,黑龙江,第502组,615,6494,,,,,,,,,,,,,,,
哈尔滨工业大学,黑龙江,第505组,614,6620,,,,,,,,,,,,,,,
哈尔滨工业大学,黑龙江,第501组,606,9023,,,,,,,,,,,,,,,
北京理工大学,北京,第501组(珠海校区),654,705,,,,,,,,,,,,,,,
北京理工大学,北京,第502组,649,969,,,,,,,,,,,,,,,
北京理工大学,北京,第503组,606,8996,,,,,,,,,,,,,,,
北京航空航天大学,北京,第501组,653,764,,,,,,,,,,,,,,,
北京航空航天大学,北京,"第502组(中外合作办学 )",631,3186,,,,,,,,,,,,,,,
中南大学,湖南,第504组,653,767,,,,,,,,,,,,,,,
中南大学,湖南,第503组,624,4420,,,,,,,,,,,,,,,
中南大学,湖南,第501组,617,6023,,,,,,,,,,,,,,,
中南大学,湖南,第502组,610,7841,,,,,,,,,,,,,,,
"哈尔滨工业大学(深圳)",广东,第501组,652,808,,,,,,,,,,,,,,,
"哈尔滨工业大学(深圳)",广东,第502组,631,3161,,,,,,,,,,,,,,,
东南大学,江苏,第501组,646,1238,,,,,,,,,,,,,,,
东南大学,江苏,第501组,621,4916,,,,,,,,,,,,,,,
浙江大学医学院,浙江,第501组,646,1245,,,,,,,,,,,,,,,
